DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK
1971-10-01,3.685649242593651,5.8,3.711130063048756,5.2,4.669833699313814,2.8277277373548295,3.747407762553005,3.41795616547711,-0.2995516,-1.4722409999999995
1971-11-01,3.68988394943954,6.0,3.713572066704308,4.91,4.6619285198067,2.8275502803137558,3.7577289819943505,3.4210980433684917,-0.3463425,-1.8185834999999995
1971-12-01,3.701361231615992,6.0,3.716008121502189,4.14,4.669552444917359,2.8251218726880474,3.759733925082161,3.432986704151563,-0.8910992,-2.7096826999999992
1972-01-01,3.725107713571213,5.8,3.7184382563554808,3.5,4.703475874772215,2.848623408515779,3.74662935965484,3.434890022628625,-0.2699292,-2.979611899999999
1972-02-01,3.73453375421616,5.7,3.7232808808312687,3.29,4.721529987104287,2.836736542063533,3.7543628412250287,3.438043482782818,-0.0824862,-3.062098099999999
1972-03-01,3.7418015462898806,5.8,3.7232808808312687,3.83,4.73952623848717,2.8628292548897636,3.7735881820408905,3.449257120405715,0.2305502,-2.831547899999999
1972-04-01,3.752206303974261,5.7,3.7256934272366524,4.17,4.750135956238277,2.864712011115587,3.7776455406998273,3.451763745232843,-0.1424142,-2.973962099999999
1972-05-01,3.7517462662242758,5.7,3.728100167267218,4.27,4.782814153230935,2.8779617378194833,3.7886342872509284,3.4504953533834417,-0.137422,-3.111384099999999
1972-06-01,3.7544962999004503,5.7,3.730501128804756,4.46,4.780383203544751,2.8800407990577996,3.788521148440802,3.456316680883235,-0.0932506,-3.2046346999999993
1972-07-01,3.7541567647793053,5.6,3.7328963395307104,4.55,4.786074071694426,2.8937549174415267,3.7947023628516034,3.462511961481248,0.0,-3.2046346999999993
1972-08-01,3.7672446016237715,5.6,3.735285826928092,4.8,4.795459912431223,2.9054245605224573,3.798249421168279,3.4672347789234625,0.0,-3.2046346999999993
1972-09-01,3.7746924049443855,5.5,3.7400477406883357,4.87,4.809742351716865,2.89977188240808,3.802899864409751,3.4692297920539823,0.0,-3.2046346999999993
1972-10-01,3.788355942787677,5.6,3.742420221041966,5.04,4.824145060430081,2.9412232880535982,3.8193812621780943,3.4780966924979464,0.0,-3.2046346999999993
1972-11-01,3.7997318616886915,5.3,3.7471483622379123,5.06,4.837709458942664,2.951623633927928,3.816678825045808,3.484404308678541,0.0124695,-3.1921651999999994
1972-12-01,3.811081599992601,5.2,3.7495040759303713,5.33,4.87351652213313,2.960830221544726,3.8159525366774125,3.4896660296497637,-0.0227062,-3.2148713999999994
1973-01-01,3.8176705668432467,4.9,3.754198920234579,5.94,4.90096922654182,2.996132193575318,3.8232792195935916,3.4931686602009657,0.2663275,-2.9485438999999993
1973-02-01,3.8324320290419998,5.0,3.7612001156935624,6.58,4.962844630259907,3.0128351814536534,3.8277932107943307,3.497022580336643,0.2003921,-2.748151799999999
1973-03-01,3.8329516591636588,4.9,3.770459441106359,7.09,5.009768251656904,3.029698823117264,3.8189423384121044,3.500197714167299,0.0389239,-2.7092278999999992
1973-04-01,3.831318245312915,5.0,3.7773481021015445,7.12,5.0295878870129425,3.012097627640255,3.8147408826215923,3.5008617047751005,-0.092673,-2.8019008999999993
1973-05-01,3.8377023952839537,4.9,3.7819143200811256,7.84,5.0825217528963655,3.015779968857769,3.813020015586138,3.5050167103011525,0.287436,-2.5144648999999992
1973-06-01,3.838361395178587,4.9,3.7887247890836524,8.49,5.143124477142335,2.974917133840071,3.816810820822135,3.5100517865742376,0.358856,-2.1556088999999994
1973-07-01,3.842754381639309,4.8,3.7887247890836524,10.4,5.204446150937966,2.987952086235029,3.835552244085236,3.50927420481421,0.0822849,-2.0733239999999995
1973-08-01,3.840915757364483,4.8,3.8066624897703196,10.5,5.336576078665127,2.9751723595886297,3.8033458848002764,3.509991994054264,0.2459116,-1.8274123999999996
1973-09-01,3.84979009100221,4.8,3.8110970868381857,10.78,5.274024673978992,3.0129826269605187,3.8194251439605797,3.516636932761646,-0.6031274,-2.4305397999999996
1973-10-01,3.8566138842127295,4.6,3.8199077165203406,10.01,5.257807823209827,2.9794504409797082,3.814498375538095,3.516429017115245,-0.8729396,-3.3034793999999996
1973-11-01,3.8617733767583298,4.8,3.8264651170664994,10.03,5.257755754791914,2.9747639671177946,3.819841924882434,3.5178241935938748,-0.1196041,-3.4230834999999997
1973-12-01,3.859410947116736,4.9,3.835141961092188,9.95,5.319736333921337,2.9511532301560237,3.8124015453965656,3.5129772491221654,-0.1987383,-3.6218217999999998
1974-01-01,3.852355800142201,5.1,3.845883202923601,9.65,5.362887137197337,2.950368731802461,3.809901682361386,3.51390087157524,-0.2057967,-3.8276185
1974-02-01,3.8492471964668944,5.2,3.856510295497887,8.97,5.446952865687185,2.9309270501878752,3.802498275898709,3.5130666692328076,0.2024596,-3.6251588999999997
1974-03-01,3.849506971018115,5.1,3.86702563949741,9.35,5.4510384535657,2.9530335190208756,3.793757353331181,3.5158941782969686,0.7552907,-2.8698682
1974-04-01,3.846553918114811,5.1,3.8732821771117156,10.51,5.441638185992259,2.950264085506844,3.796185575852178,3.5214071001701877,0.3919308,-2.4779374
1974-05-01,3.8538619714855415,5.1,3.883623530906448,11.31,5.401234900554723,2.9622788972947713,3.795354348620942,3.524181682073531,0.3437911,-2.1341463000000003
1974-06-01,3.853177050844882,5.4,3.8918202981106265,11.93,5.413430173648541,2.937891273864141,3.794679873000148,3.5266251954700936,0.233938,-1.9002083000000003
1974-07-01,3.8531515958366076,5.5,3.8979240810486444,12.92,5.468397636919637,2.944544236784558,3.8012255139454747,3.526654599019104,-0.1344257,-2.0346340000000005
1974-08-01,3.843429339962152,5.5,3.910021002757473,12.01,5.484091290392243,2.990015966557882,3.8002419219673973,3.528886742803045,-0.0443393,-2.0789733000000004
1974-09-01,3.8439390065056536,5.9,3.92395157629342,11.34,5.440337626568466,2.932419667342225,3.7912329532257525,3.5314358585858847,-0.4368792,-2.5158525000000003
1974-10-01,3.840099415005333,6.0,3.9318256327243257,10.06,5.444666262883174,2.8918706340199005,3.7899005681726643,3.537765824444175,-0.3089716,-2.8248241000000003
1974-11-01,3.8066113773529913,6.6,3.9415818076696905,9.45,5.428468051013081,2.8418815487357305,3.781367473549088,3.5358156833869163,0.2858265,-2.5389976
1974-12-01,3.7708464629779255,7.2,3.949318790171843,8.53,5.3618553873520245,2.8330368578952143,3.767297766248043,3.5434489759037304,-0.2513332,-2.7903308
1975-01-01,3.756872158934249,8.1,3.9569963710708773,7.13,5.3234001469155,2.867614770773548,3.7771650189812966,3.543738068444265,-0.3687084,-3.1590392
1975-02-01,3.7335420640201256,8.1,3.9627161197436642,6.24,5.307921102690732,2.9002670817359246,3.780227248573212,3.5499334287879147,0.2339981,-2.9250411
1975-03-01,3.7228725849294535,8.6,3.966511190712216,5.54,5.291292751611072,2.862886360220562,3.7870038521071354,3.5511679082384506,-0.4145509,-3.339592
1975-04-01,3.724041461081983,8.8,3.970291913552122,5.49,5.304398836863904,2.8623151601136394,3.78200543210342,3.556861201829224,-0.5769329,-3.9165249
1975-05-01,3.7214023058194385,9.0,3.9721769282478934,5.22,5.270586392809726,2.9073927422304675,3.816370767128484,3.5609324397833144,0.1355233,-3.7810016
1975-06-01,3.7283597489575904,8.8,3.979681653901961,5.55,5.232337807614061,2.9183111265854063,3.8114288901924436,3.564166209940295,0.182744,-3.5982576
1975-07-01,3.7375648508906947,8.6,3.9889840465642745,6.1,5.27556037942542,2.9491122529187646,3.810588107772792,3.564364434416003,0.0453894,-3.5528682000000003
1975-08-01,3.74813372566448,8.4,3.9926809084456005,6.14,5.326175694676433,2.947801739796441,3.8159085022424772,3.5661749528884505,-0.1441198,-3.696988
1975-09-01,3.7605021977869035,8.4,4.000033882750859,6.24,5.32942836157309,2.973537788044222,3.8128654338949275,3.5660336241150903,-0.1121478,-3.8091358
1975-10-01,3.7647264490049968,8.4,4.005513348515485,5.82,5.305193670487469,2.955691224016807,3.8034127707040972,3.5765782407767786,-0.1980368,-4.0071726
1975-11-01,3.766987984780207,8.3,4.012772908528289,5.22,5.255670791826564,2.9860858965021855,3.8124015453965656,3.5769697615603473,-0.315378,-4.3225506
1975-12-01,3.779355239770475,8.2,4.018183201256536,5.2,5.245232995455582,3.0141123208354204,3.8161946914154727,3.5849900780216735,0.2369289,-4.0856217
1976-01-01,3.7939081647305577,7.9,4.021773869387265,4.87,5.249022074823159,3.0236392268069987,3.832005297442115,3.5911839316404826,-0.0995446,-4.1851663
1976-02-01,3.803631233484927,7.7,4.023564380161053,4.77,5.263881189226909,3.038935430854639,3.8274667938699793,3.5882300459640066,-0.4622471,-4.6474134
1976-03-01,3.8045246506643204,7.6,4.02535169073515,4.84,5.278318720041347,3.0404666048941618,3.8327849739158917,3.5939092165227096,-0.2652588,-4.912672199999999
1976-04-01,3.81024938250563,7.7,4.027135812528651,4.82,5.3099000277911035,3.0531045534118615,3.845562638727876,3.595859150540715,0.1363696,-4.776302599999999
1976-05-01,3.8148422772385064,7.4,4.032469158504013,5.29,5.312072331780373,3.01519170471021,3.838634774198773,3.5971204613742347,-0.2574376,-5.0337401999999996
1976-06-01,3.8147519042736278,7.6,4.037774210733707,5.48,5.334842141230409,3.0478976875346704,3.8537156965668715,3.6002394789506655,-0.0270147,-5.060754899999999
1976-07-01,3.8207910981536917,7.8,4.04305126783455,5.31,5.3755098623779425,3.0531517644214774,3.85087074443464,3.606095492635015,-0.1440769,-5.204831799999999
1976-08-01,3.827747518838609,7.8,4.048300623720694,5.29,5.332138915023547,3.0454267905778427,3.8545210031566874,3.6094032526121396,-0.0503726,-5.255204399999999
1976-09-01,3.830522235297985,7.6,4.053522567701846,5.25,5.313599990079194,3.051876284172031,3.855473817736961,3.614209785776907,-0.0077816,-5.262986
1976-10-01,3.8308715166172633,7.7,4.05871738457895,5.02,5.280662431309316,3.0418999543989984,3.86222333187554,3.6158247732080255,-0.0823017,-5.3452877
1976-11-01,3.8452932853667057,7.8,4.062165663857866,4.95,5.284117017146896,3.0536237519697687,3.860477047544915,3.6245809041809722,0.0016443,-5.3436434
1976-12-01,3.855693894680134,7.8,4.067315889834181,4.65,5.301462415692109,3.1009027711595305,3.869574689163307,3.6306145459819605,-0.1194494,-5.4630928
1977-01-01,3.8501582399513445,7.5,4.072439726834051,4.61,5.334070536253854,3.0682389643407393,3.8680293197422557,3.634740008013288,-0.1224781,-5.5855709000000004
1977-02-01,3.865314972119038,7.6,4.08260930600368,4.68,5.3610573963692225,3.1031506703212615,3.863525798342597,3.6381123370602833,-0.1395348,-5.7251057
1977-03-01,3.877744141199725,7.4,4.087655574071304,4.69,5.3864198147695825,3.132969291859076,3.8587066133262025,3.633815903338883,-0.2478156,-5.9729213
1977-04-01,3.8866149369602447,7.2,4.0943445622221,4.73,5.39725731440294,3.1262779634006344,3.8646797939176256,3.6349247265160103,-0.085265,-6.0581863
